"","movieId","title","totalRating","qtdObs","meanRating","qtdGenres"
"1",1,"Toy Story (1995)",956.5,247,3.87246963562753,"more"
"2",2,"Jumanji (1995)",364,107,3.4018691588785,"more"
"3",3,"Grumpier Old Men (1995)",186.5,59,3.16101694915254,"more"
"4",4,"Waiting to Exhale (1995)",31,13,2.38461538461538,"more"
"5",5,"Father of the Bride Part II (1995)",183,56,3.26785714285714,"one"
"6",6,"Heat (1995)",404,104,3.88461538461538,"more"
"7",7,"Sabrina (1995)",174,53,3.28301886792453,"more"
"8",8,"Tom and Huck (1995)",19,5,3.8,"more"
"9",9,"Sudden Death (1995)",63,20,3.15,"one"
"10",10,"GoldenEye (1995)",421,122,3.45081967213115,"more"
"11",11,"American President, The (1995)",302.5,82,3.6890243902439,"more"
"12",12,"Dracula: Dead and Loving It (1995)",51.5,18,2.86111111111111,"more"
"13",13,"Balto (1995)",31.5,8,3.9375,"more"
"14",14,"Nixon (1995)",107,31,3.45161290322581,"one"
"15",15,"Cutthroat Island (1995)",25.5,11,2.31818181818182,"more"
"16",16,"Casino (1995)",347.5,88,3.94886363636364,"more"
"17",17,"Sense and Sensibility (1995)",337.5,86,3.92441860465116,"more"
"18",18,"Four Rooms (1995)",85.5,26,3.28846153846154,"one"
"19",19,"Ace Ventura: When Nature Calls (1995)",239,92,2.59782608695652,"one"
"20",20,"Money Train (1995)",33,13,2.53846153846154,"more"
"21",21,"Get Shorty (1995)",336,95,3.53684210526316,"more"
"22",22,"Copycat (1995)",127.5,38,3.35526315789474,"more"
"23",23,"Assassins (1995)",68,22,3.09090909090909,"more"
"24",24,"Powder (1995)",103.5,34,3.04411764705882,"more"
"25",25,"Leaving Las Vegas (1995)",378,101,3.74257425742574,"more"
"26",26,"Othello (1995)",20.5,5,4.1,"one"
"27",27,"Now and Then (1995)",22,7,3.14285714285714,"more"
"28",28,"Persuasion (1995)",73.5,18,4.08333333333333,"more"
"29",29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",161,40,4.025,"more"
"30",30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",40.5,10,4.05,"more"
"31",31,"Dangerous Minds (1995)",133.5,42,3.17857142857143,"one"
"32",32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",769,196,3.9234693877551,"more"
"33",34,"Babe (1995)",0,0,NA,"more"
"34",35,"Carrington (1995)",533,148,3.60135135135135,"more"
"35",36,"Dead Man Walking (1995)",39,11,3.54545454545455,"more"
"36",37,"Across the Sea of Time (1995)",409.5,104,3.9375,"more"
"37",38,"It Takes Two (1995)",4,2,2,"more"
"38",39,"Clueless (1995)",4,2,2,"more"
"39",40,"Cry, the Beloved Country (1995)",426,120,3.55,"one"
"40",41,"Richard III (1995)",23.5,6,3.91666666666667,"more"
"41",42,"Dead Presidents (1995)",92.5,23,4.02173913043478,"more"
"42",43,"Restoration (1995)",21,9,2.33333333333333,"one"
"43",44,"Mortal Kombat (1995)",43.5,12,3.625,"more"
"44",45,"To Die For (1995)",102.5,38,2.69736842105263,"more"
"45",46,"How to Make an American Quilt (1995)",151.5,43,3.52325581395349,"more"
"46",47,"Seven (a.k.a. Se7en) (1995)",38,12,3.16666666666667,"more"
"47",48,"Pocahontas (1995)",811,201,4.03482587064677,"more"
"48",49,"When Night Is Falling (1995)",178.5,61,2.92622950819672,"more"
"49",50,"Usual Suspects, The (1995)",8,2,4,"more"
"50",52,"Mighty Aphrodite (1995)",878.5,201,4.37064676616915,"more"
"51",53,"Lamerica (1994)",0,0,NA,"more"
"52",54,"Big Green, The (1995)",185.5,51,3.63725490196078,"more"
"53",55,"Georgia (1995)",5,1,5,"one"
"54",57,"Home for the Holidays (1995)",11,3,3.66666666666667,"one"
"55",58,"Postman, The (Postino, Il) (1994)",20,6,3.33333333333333,"more"
"56",59,"Confessional, The (Confessionnal, Le) (1995)",0,0,NA,"more"
"57",60,"Indian in the Cupboard, The (1995)",44,14,3.14285714285714,"more"
