"","movieId","title","totalRating","qtdObs"
"1",1,"Toy Story (1995)",956.5,247
"2",20,"Money Train (1995)",33,13
"3",22,"Copycat (1995)",127.5,38
"4",29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",161,40
"5",48,"Pocahontas (1995)",811,201
"6",70,"From Dusk Till Dawn (1996)",10,5
"7",78,"Crossing Guard, The (1995)",53.5,13
"8",101,"Bottle Rocket (1996)",78.5,22
"9",107,"Muppet Treasure Island (1996)",11,4
"10",112,"Rumble in the Bronx (Hont faan kui) (1995)",16,4
"11",145,"Bad Boys (1995)",78,21
"12",151,"Rob Roy (1995)",2,1
"13",153,"Batman Forever (1995)",0,0
"14",160,"Congo (1995)",80,23
"15",164,"Devil in a Blue Dress (1995)",86.5,26
"16",170,"Hackers (1995)",780.5,200
"17",198,"Strange Days (1995)",91,23
"18",239,"Goofy Movie, A (1995)",0,0
"19",258,"Kid in King Arthur's Court, A (1995)",491.5,158
"20",266,"Legends of the Fall (1994)",44,15
"21",292,"Outbreak (1995)",3,1
"22",293,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",9,2
"23",296,"Pulp Fiction (1994)",35.5,13
"24",314,"Secret of Roan Inish, The (1994)",69.5,18
"25",349,"Clear and Present Danger (1994)",128,44
"26",353,"Crow, The (1994)",151,38
"27",356,"Forrest Gump (1994)",51,14
"28",364,"Lion King, The (1994)",382,114
"29",366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",18,6
"30",367,"Mask, The (1994)",32,10
"31",380,"True Lies (1994)",180,48
"32",382,"Wolf (1994)",27,7
"33",420,"Beverly Hills Cop III (1994)",65,20
"34",427,"Boxing Helena (1993)",39,12
"35",459,"Getaway, The (1994)",2.5,1
"36",464,"Hard Target (1993)",60,26
"37",480,"Jurassic Park (1993)",85.5,23
"38",485,"Last Action Hero (1993)",20,7
"39",496,"What Happened Was... (1994)",21,7
"40",519,"RoboCop 3 (1993)",187,59
"41",533,"Shadow, The (1994)",0,0
"42",546,"Super Mario Bros. (1993)",48,14
"43",551,"Nightmare Before Christmas, The (1993)",30.5,8
"44",552,"Three Musketeers, The (1993)",8,3
"45",558,"Pagemaster, The (1994)",61.5,15
"46",587,"Ghost (1990)",36,10
"47",588,"Aladdin (1992)",25.5,9
"48",594,"Snow White and the Seven Dwarfs (1937)",1050,244
"49",595,"Beauty and the Beast (1991)",5,2
"50",596,"Pinocchio (1940)",177,45
"51",608,"Fargo (1996)",9,4
"52",610,"Heavy Metal (1981)",97.5,25
"53",628,"Primal Fear (1996)",328.5,90
"54",631,"All Dogs Go to Heaven 2 (1996)",198.5,57
"55",647,"Courage Under Fire (1996)",3,1
"56",648,"Mission: Impossible (1996)",111.5,30
"57",661,"James and the Giant Peach (1996)",7,2
"58",673,"Space Jam (1996)",4,2
"59",680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",72,17
"60",688,"Operation Dumbo Drop (1995)",126,41
"61",709,"Oliver & Company (1988)",0,0
"62",724,"Craft, The (1996)",21,7
"63",736,"Twister (1996)",0,0
"64",780,"Independence Day (a.k.a. ID4) (1996)",0,0
"65",783,"Hunchback of Notre Dame, The (1996)",593.5,168
"66",788,"Nutty Professor, The (1996)",193,62
"67",798,"Daylight (1996)",0,0
"68",849,"Escape from L.A. (1996)",23.5,7
"69",861,"Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)",10,3
"70",866,"Bound (1996)",22,7
"71",869,"Kansas City (1996)",5,1
"72",876,"Supercop 2 (Project S) (Chao ji ji hua) (1993)",0,0
"73",888,"Land Before Time III: The Time of the Great Giving (1995)",0,0
"74",897,"For Whom the Bell Tolls (1943)",95.5,34
"75",903,"Vertigo (1958)",9.5,4
"76",908,"North by Northwest (1959)",0,0
"77",911,"Charade (1963)",504.5,135
"78",914,"My Fair Lady (1964)",487.5,150
"79",919,"Wizard of Oz, The (1939)",112,27
"80",928,"Rebecca (1940)",0,0
"81",929,"Foreign Correspondent (1940)",442,105
"82",933,"To Catch a Thief (1955)",11,3
"83",953,"It's a Wonderful Life (1946)",0,0
"84",969,"African Queen, The (1951)",9,2
"85",970,"Beat the Devil (1953)",209.5,68
"86",996,"Last Man Standing (1996)",40.5,14
"87",1011,"Herbie Rides Again (1974)",3,1
"88",1022,"Cinderella (1950)",0,0
"89",1025,"Sword in the Stone, The (1963)",81.5,26
"90",1028,"Mary Poppins (1964)",10.5,4
"91",1029,"Dumbo (1941)",3,1
"92",1030,"Pete's Dragon (1977)",19,6
"93",1032,"Alice in Wonderland (1951)",66,18
"94",1034,"Freeway (1996)",36,11
"95",1037,"Lawnmower Man, The (1992)",7,3
"96",1064,"Aladdin and the King of Thieves (1996)",0,0
"97",1073,"Willy Wonka & the Chocolate Factory (1971)",3,1
"98",1127,"Abyss, The (1989)",109.5,25
"99",1129,"Escape from New York (1981)",45,11
"100",1148,"Wallace & Gromit: The Wrong Trousers (1993)",29.5,8
"101",1151,"Lesson Faust (1994)",463,117
"102",1197,"Princess Bride, The (1987)",122,30
"103",1200,"Aliens (1986)",0,0
"104",1206,"Clockwork Orange, A (1971)",6,2
"105",1215,"Army of Darkness (1993)",2.5,1
"106",1218,"Killer, The (Die xue shuang xiong) (1989)",0,0
"107",1223,"Grand Day Out with Wallace and Gromit, A (1989)",1,1
"108",1224,"Henry V (1989)",1,1
"109",1245,"Miller's Crossing (1990)",0,0
"110",1249,"Femme Nikita, La (Nikita) (1990)",7.5,3
"111",1252,"Chinatown (1974)",30,11
"112",1254,"Treasure of the Sierra Madre, The (1948)",58.5,18
"113",1261,"Evil Dead II (Dead by Dawn) (1987)",31,10
"114",1262,"Great Escape, The (1963)",55.5,17
"115",1264,"Diva (1981)",135.5,37
"116",1274,"Akira (1988)",155.5,42
"117",1282,"Fantasia (1940)",76.5,27
"118",1320,"Alien³ (a.k.a. Alien 3) (1992)",48.5,11
"119",1327,"Amityville Horror, The (1979)",555.5,148
"120",1339,"Dracula (Bram Stoker's Dracula) (1992)",217,56
"121",1345,"Carrie (1976)",267.5,68
"122",1356,"Star Trek: First Contact (1996)",246,74
"123",1374,"Star Trek II: The Wrath of Khan (1982)",0,0
"124",1396,"Sneakers (1992)",77,23
"125",1405,"Beavis and Butt-Head Do America (1996)",0,0
"126",1406,"La Cérémonie (1995)",0,0
"127",1407,"Scream (1996)",0,0
"128",1408,"Last of the Mohicans, The (1992)",0,0
"129",1409,"Michael (1996)",3,1
"130",1422,"Murder at 1600 (1997)",0,0
"131",1429,"First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)",0,0
"132",1432,"Metro (1997)",5,2
"133",1464,"Lost Highway (1997)",105.5,29
"134",1473,"Best Men (1997)",35.5,10
"135",1479,"Saint, The (1997)",0,0
"136",1484,"Daytrippers, The (1996)",250,62
"137",1525,"Warriors of Virtue (1997)",159.5,39
"138",1527,"Fifth Element, The (1997)",415.5,100
"139",1544,"Lost World: Jurassic Park, The (1997)",166.5,44
"140",1562,"Batman & Robin (1997)",214,54
"141",1566,"Hercules (1997)",367,89
"142",1573,"Face/Off (1997)",329.5,76
"143",1589,"Cop Land (1997)",193.5,49
"144",1591,"Spawn (1997)",60,14
"145",1597,"Conspiracy Theory (1997)",907.5,226
"146",1617,"L.A. Confidential (1997)",51,13
"147",1620,"Kiss the Girls (1997)",590.5,147
"148",1646,"RocketMan (a.k.a. Rocket Man) (1997)",0.5,1
"149",1688,"Anastasia (1997)",52,17
"150",1717,"Scream 2 (1997)",256.5,66
"151",1726,"Postman, The (1997)",0,0
"152",1748,"Dark City (1998)",227.5,65
"153",1750,"Star Kid (1997)",197.5,64
"154",1754,"Fallen (1998)",313,90
"155",1783,"Palmetto (1998)",392,106
"156",1799,"Suicide Kings (1997)",11,4
