"","movieId","title","totalRating","qtdObs"
"1",1,"Toy Story (1995)",956.5,247
"2",2,"Jumanji (1995)",364,107
"3",3,"Grumpier Old Men (1995)",186.5,59
"4",4,"Waiting to Exhale (1995)",31,13
"5",6,"Heat (1995)",404,104
"6",7,"Sabrina (1995)",174,53
"7",8,"Tom and Huck (1995)",19,5
"8",10,"GoldenEye (1995)",421,122
"9",11,"American President, The (1995)",302.5,82
"10",12,"Dracula: Dead and Loving It (1995)",51.5,18
"11",13,"Balto (1995)",31.5,8
"12",15,"Cutthroat Island (1995)",25.5,11
"13",16,"Casino (1995)",347.5,88
"14",17,"Sense and Sensibility (1995)",337.5,86
"15",20,"Money Train (1995)",33,13
"16",21,"Get Shorty (1995)",336,95
"17",22,"Copycat (1995)",127.5,38
"18",23,"Assassins (1995)",68,22
"19",24,"Powder (1995)",103.5,34
"20",25,"Leaving Las Vegas (1995)",378,101
"21",27,"Now and Then (1995)",22,7
"22",28,"Persuasion (1995)",73.5,18
"23",29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",161,40
"24",30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",40.5,10
"25",32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",769,196
"26",34,"Babe (1995)",0,0
"27",35,"Carrington (1995)",533,148
"28",36,"Dead Man Walking (1995)",39,11
"29",37,"Across the Sea of Time (1995)",409.5,104
"30",38,"It Takes Two (1995)",4,2
"31",39,"Clueless (1995)",4,2
"32",41,"Richard III (1995)",23.5,6
"33",42,"Dead Presidents (1995)",92.5,23
"34",44,"Mortal Kombat (1995)",43.5,12
"35",45,"To Die For (1995)",102.5,38
"36",46,"How to Make an American Quilt (1995)",151.5,43
"37",47,"Seven (a.k.a. Se7en) (1995)",38,12
"38",48,"Pocahontas (1995)",811,201
"39",49,"When Night Is Falling (1995)",178.5,61
"40",50,"Usual Suspects, The (1995)",8,2
"41",52,"Mighty Aphrodite (1995)",878.5,201
"42",53,"Lamerica (1994)",0,0
"43",54,"Big Green, The (1995)",185.5,51
"44",58,"Postman, The (Postino, Il) (1994)",20,6
"45",59,"Confessional, The (Confessionnal, Le) (1995)",0,0
"46",60,"Indian in the Cupboard, The (1995)",44,14
"47",61,"Eye for an Eye (1996)",180,45
"48",63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",90.5,32
"49",64,"Two if by Sea (1996)",25,7
"50",66,"Lawnmower Man 2: Beyond Cyberspace (1996)",17,6
"51",68,"French Twist (Gazon maudit) (1995)",24,10
"52",70,"From Dusk Till Dawn (1996)",10,5
"53",72,"Kicking and Screaming (1995)",28,8
"54",73,"Misérables, Les (1995)",84,22
"55",74,"Bed of Roses (1996)",145,48
"56",76,"Screamers (1995)",17,7
"57",78,"Crossing Guard, The (1995)",53.5,13
"58",79,"Juror, The (1996)",57.5,19
"59",80,"White Balloon, The (Badkonake sefid) (1995)",0,0
"60",81,"Things to Do in Denver When You're Dead (1995)",50,15
"61",82,"Antonia's Line (Antonia) (1995)",8,2
"62",83,"Once Upon a Time... When We Were Colored (1995)",32,10
"63",84,"Last Summer in the Hamptons (1995)",77,26
"64",85,"Angels and Insects (1995)",18.5,4
"65",86,"White Squall (1996)",58.5,18
"66",87,"Dunston Checks In (1996)",38,10
"67",89,"Nick of Time (1995)",4,1
"68",92,"Mary Reilly (1996)",65,16
"69",93,"Vampire in Brooklyn (1995)",64,17
"70",94,"Beautiful Girls (1996)",5,3
"71",95,"Broken Arrow (1996)",66.5,23
"72",96,"In the Bleak Midwinter (1995)",58.5,17
"73",97,"Hate (Haine, La) (1995)",0,0
"74",98,"Shopping (1994)",0,0
"75",100,"City Hall (1996)",24.5,11
"76",101,"Bottle Rocket (1996)",78.5,22
"77",103,"Unforgettable (1996)",1,1
"78",105,"Bridges of Madison County, The (1995)",3,1
"79",107,"Muppet Treasure Island (1996)",11,4
"80",110,"Braveheart (1995)",66,17
"81",111,"Taxi Driver (1976)",28.5,11
"82",112,"Rumble in the Bronx (Hont faan kui) (1995)",16,4
"83",113,"Before and After (1996)",309.5,94
"84",117,"Young Poisoner's Handbook, The (1995)",93.5,27
"85",118,"If Lucy Fell (1996)",4,1
"86",122,"Boomerang (1992)",498.5,118
"87",123,"Chungking Express (Chung Hing sam lam) (1994)",161.5,49
"88",126,"NeverEnding Story III, The (1994)",0,0
"89",129,"Pie in the Sky (1996)",28.5,6
"90",131,"Frankie Starlight (1995)",14,5
"91",140,"Up Close and Personal (1996)",58,19
"92",145,"Bad Boys (1995)",78,21
"93",146,"Amazing Panda Adventure, The (1995)",27,10
"94",149,"Amateur (1994)",3,1
"95",150,"Apollo 13 (1995)",4.5,1
"96",151,"Rob Roy (1995)",2,1
"97",152,"Addiction, The (1995)",23,8
"98",153,"Batman Forever (1995)",0,0
"99",155,"Beyond Rangoon (1995)",81,27
"100",156,"Blue in the Face (1995)",0,0
"101",157,"Canadian Bacon (1995)",1,1
"102",158,"Casper (1995)",0,0
"103",159,"Clockers (1995)",0,0
"104",160,"Congo (1995)",80,23
"105",161,"Crimson Tide (1995)",333,93
"106",163,"Desperado (1995)",0,0
"107",164,"Devil in a Blue Dress (1995)",86.5,26
"108",165,"Die Hard: With a Vengeance (1995)",141,43
"109",166,"Doom Generation, The (1995)",13,3
"110",168,"First Knight (1995)",4,1
"111",169,"Free Willy 2: The Adventure Home (1995)",26,6
"112",170,"Hackers (1995)",780.5,200
"113",171,"Jeffrey (1995)",171,48
"114",172,"Johnny Mnemonic (1995)",11.5,3
"115",173,"Judge Dredd (1995)",359,129
"116",178,"Love & Human Remains (1993)",166.5,58
"117",179,"Mad Love (1995)",31.5,8
"118",180,"Mallrats (1995)",147.5,63
"119",181,"Mighty Morphin Power Rangers: The Movie (1995)",306.5,80
"120",183,"Mute Witness (1994)",136.5,33
"121",185,"Net, The (1995)",92.5,26
"122",186,"Nine Months (1995)",489,142
"123",188,"Prophecy, The (1995)",4,1
"124",189,"Reckless (1995)",134,43
"125",191,"Scarlet Letter, The (1995)",85.5,26
"126",194,"Smoke (1995)",123.5,48
"127",195,"Something to Talk About (1995)",179.5,70
"128",196,"Species (1995)",9,4
"129",198,"Strange Days (1995)",91,23
"130",199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",68,18
"131",201,"Three Wishes (1995)",23.5,5
"132",202,"Total Eclipse (1995)",21,6
"133",205,"Unstrung Heroes (1995)",0,0
"134",207,"Walk in the Clouds, A (1995)",9,2
"135",208,"Waterworld (1995)",316.5,102
"136",214,"Before the Rain (Pred dozhdot) (1994)",4,1
"137",215,"Before Sunrise (1995)",23,6
"138",217,"Babysitter, The (1995)",0,0
"139",218,"Boys on the Side (1995)",81,35
"140",222,"Circle of Friends (1995)",154.5,55
"141",224,"Don Juan DeMarco (1995)",148,43
"142",225,"Disclosure (1994)",10,3
"143",227,"Drop Zone (1994)",4,1
"144",229,"Death and the Maiden (1994)",12,4
"145",230,"Dolores Claiborne (1995)",76,23
"146",231,"Dumb & Dumber (Dumb and Dumber) (1994)",93,31
"147",232,"Eat Drink Man Woman (Yin shi nan nu) (1994)",16,4
"148",235,"Ed Wood (1994)",311,113
"149",236,"French Kiss (1995)",13,5
"150",237,"Forget Paris (1995)",0,0
"151",238,"Far From Home: The Adventures of Yellow Dog (1995)",10,3
"152",239,"Goofy Movie, A (1995)",0,0
"153",241,"Fluke (1995)",6,2
"154",242,"Farinelli: il castrato (1994)",67,18
"155",243,"Gordy (1995)",127,42
"156",244,"Gumby: The Movie (1995)",19,7
"157",245,"The Glass Shield (1994)",50,15
"158",247,"Heavenly Creatures (1994)",6,2
"159",249,"Immortal Beloved (1994)",86.5,22
"160",250,"Heavyweights (Heavy Weights) (1995)",432,109
