"","movieId","title","totalRating","qtdObs","qtdGenres"
"1",1,"Toy Story (1995)",956.5,247,"more"
"2",2,"Jumanji (1995)",364,107,"more"
"3",3,"Grumpier Old Men (1995)",186.5,59,"more"
"4",4,"Waiting to Exhale (1995)",31,13,"more"
"5",5,"Father of the Bride Part II (1995)",183,56,"one"
"6",6,"Heat (1995)",404,104,"more"
"7",7,"Sabrina (1995)",174,53,"more"
"8",8,"Tom and Huck (1995)",19,5,"more"
"9",9,"Sudden Death (1995)",63,20,"one"
"10",10,"GoldenEye (1995)",421,122,"more"
"11",11,"American President, The (1995)",302.5,82,"more"
"12",12,"Dracula: Dead and Loving It (1995)",51.5,18,"more"
"13",13,"Balto (1995)",31.5,8,"more"
"14",14,"Nixon (1995)",107,31,"one"
"15",15,"Cutthroat Island (1995)",25.5,11,"more"
"16",16,"Casino (1995)",347.5,88,"more"
"17",17,"Sense and Sensibility (1995)",337.5,86,"more"
"18",18,"Four Rooms (1995)",85.5,26,"one"
"19",19,"Ace Ventura: When Nature Calls (1995)",239,92,"one"
"20",20,"Money Train (1995)",33,13,"more"
"21",21,"Get Shorty (1995)",336,95,"more"
"22",22,"Copycat (1995)",127.5,38,"more"
"23",23,"Assassins (1995)",68,22,"more"
"24",24,"Powder (1995)",103.5,34,"more"
"25",25,"Leaving Las Vegas (1995)",378,101,"more"
"26",26,"Othello (1995)",20.5,5,"one"
"27",27,"Now and Then (1995)",22,7,"more"
"28",28,"Persuasion (1995)",73.5,18,"more"
"29",29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",161,40,"more"
"30",30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",40.5,10,"more"
"31",31,"Dangerous Minds (1995)",133.5,42,"one"
"32",32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",769,196,"more"
"33",34,"Babe (1995)",0,0,"more"
"34",35,"Carrington (1995)",533,148,"more"
"35",36,"Dead Man Walking (1995)",39,11,"more"
"36",37,"Across the Sea of Time (1995)",409.5,104,"more"
"37",38,"It Takes Two (1995)",4,2,"more"
"38",39,"Clueless (1995)",4,2,"more"
"39",40,"Cry, the Beloved Country (1995)",426,120,"one"
"40",41,"Richard III (1995)",23.5,6,"more"
"41",42,"Dead Presidents (1995)",92.5,23,"more"
"42",43,"Restoration (1995)",21,9,"one"
"43",44,"Mortal Kombat (1995)",43.5,12,"more"
