"","movieId","title","totalRating","qtdObs"
"1",5,"Father of the Bride Part II (1995)",183,56
"2",9,"Sudden Death (1995)",63,20
"3",14,"Nixon (1995)",107,31
"4",18,"Four Rooms (1995)",85.5,26
"5",19,"Ace Ventura: When Nature Calls (1995)",239,92
"6",26,"Othello (1995)",20.5,5
"7",31,"Dangerous Minds (1995)",133.5,42
"8",40,"Cry, the Beloved Country (1995)",426,120
"9",43,"Restoration (1995)",21,9
"10",55,"Georgia (1995)",5,1
"11",57,"Home for the Holidays (1995)",11,3
"12",62,"Mr. Holland's Opus (1995)",8,2
"13",65,"Bio-Dome (1996)",321,87
"14",69,"Friday (1995)",40.5,20
"15",71,"Fair Game (1995)",0,0
"16",77,"Nico Icon (1995)",19,6
"17",88,"Black Sheep (1996)",9,3
"18",99,"Heidi Fleiss: Hollywood Madam (1995)",42.5,12
"19",102,"Mr. Wrong (1996)",295.5,93
"20",104,"Happy Gilmore (1996)",31,8
"21",108,"Catwalk (1996)",72,21
"22",114,"Margaret's Museum (1995)",149.5,48
"23",116,"Anne Frank Remembered (1995)",0,0
"24",119,"Steal Big, Steal Little (1995)",0,0
"25",121,"Boys of St. Vincent, The (1992)",899.5,228
"26",124,"Star Maker, The (Uomo delle stelle, L') (1995)",16,5
"27",125,"Flirting With Disaster (1996)",3,1
"28",130,"Angela (1995)",18,6
"29",132,"Jade (1995)",3,1
"30",135,"Down Periscope (1996)",0,0
"31",137,"Man of the Year (1995)",19,5
"32",141,"Birdcage, The (1996)",28,7
"33",144,"Brothers McMullen, The (1995)",3,1
"34",147,"Basketball Diaries, The (1995)",0,0
"35",148,"Awfully Big Adventure, An (1995)",0,0
"36",154,"Beauty of the Day (Belle de jour) (1967)",0,0
"37",162,"Crumb (1994)",0,0
"38",167,"Feast of July (1995)",76.5,21
"39",174,"Jury Duty (1995)",61,16
"40",175,"Kids (1995)",27.5,9
"41",176,"Living in Oblivion (1995)",43.5,11
"42",177,"Lord of Illusions (1995)",19,8
"43",184,"Nadja (1994)",221.5,63
"44",187,"Party Girl (1995)",12,4
"45",190,"Safe (1995)",20.5,8
"46",193,"Showgirls (1995)",26,6
"47",200,"Tie That Binds, The (1995)",37.5,13
"48",203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",145.5,44
"49",204,"Under Siege 2: Dark Territory (1995)",27,15
"50",206,"Unzipped (1995)",5,1
"51",209,"White Man's Burden (1995)",138,48
"52",211,"Browning Version, The (1994)",8.5,3
"53",213,"Burnt by the Sun (Utomlyonnye solntsem) (1994)",50,16
"54",216,"Billy Madison (1995)",15,5
"55",219,"Cure, The (1995)",103,24
"56",220,"Castle Freak (1995)",45,14
"57",223,"Clerks (1994)",0,0
"58",228,"Destiny Turns on the Radio (1995)",4,1
"59",233,"Exotica (1994)",36,10
"60",234,"Exit to Eden (1994)",94.5,28
"61",240,"Hideaway (1995)",38,9
"62",246,"Hoop Dreams (1994)",17,4
"63",248,"Houseguest (1994)",0,0
"64",251,"Hunted, The (1995)",126,35
"65",254,"Jefferson in Paris (1995)",50.5,16
"66",255,"Jerky Boys, The (1995)",2,1
"67",261,"Little Women (1994)",33,12
"68",263,"Ladybird Ladybird (1994)",201.5,60
"69",264,"Enfer, L' (1994)",108.5,34
"70",267,"Major Payne (1995)",17,5
"71",269,"My Crazy Life (Mi vida loca) (1993)",15,4
"72",271,"Losing Isaiah (1995)",3,1
"73",274,"Man of the House (1995)",157,43
"74",275,"Mixed Nuts (1994)",41,13
"75",277,"Miracle on 34th Street (1994)",13,4
"76",278,"Miami Rhapsody (1995)",3,1
"77",279,"My Family (1995)",125.5,41
"78",282,"Nell (1994)",11,5
"79",299,"Priest (1994)",17,4
"80",300,"Quiz Show (1994)",11,3
"81",305,"Ready to Wear (Pret-A-Porter) (1994)",8,3
"82",306,"Three Colors: Red (Trois couleurs: Rouge) (1994)",14,5
"83",307,"Three Colors: Blue (Trois couleurs: Bleu) (1993)",63,22
"84",309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",15,5
"85",312,"Stuart Saves His Family (1995)",11.5,4
"86",321,"Strawberry and Chocolate (Fresa y chocolate) (1993)",357,107
"87",325,"National Lampoon's Senior Trip (1995)",12,6
"88",326,"To Live (Huozhe) (1994)",364,110
"89",331,"Tom & Viv (1994)",0,0
"90",333,"Tommy Boy (1995)",60,16
"91",334,"Vanya on 42nd Street (1994)",337.5,90
"92",337,"What's Eating Gilbert Grape (1993)",76.5,24
"93",341,"Double Happiness (1994)",128.5,31
"94",342,"Muriel's Wedding (1994)",91.5,22
"95",343,"Baby-Sitters Club, The (1995)",15,3
"96",344,"Ace Ventura: Pet Detective (1994)",0,0
"97",348,"Bullets Over Broadway (1994)",67,17
"98",354,"Cobb (1994)",11,4
"99",358,"Higher Learning (1995)",10,3
"100",363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",29,8
"101",365,"Little Buddha (1993)",27,10
"102",369,"Mrs. Parker and the Vicious Circle (1994)",43,14
"103",373,"Red Rock West (1992)",42,15
"104",375,"Safe Passage (1994)",24,8
"105",383,"Wyatt Earp (1994)",157.5,40
"106",388,"Boys Life (1995)",41.5,13
"107",408,"8 Seconds (1994)",30,12
"108",412,"Age of Innocence, The (1993)",22.5,5
"109",413,"Airheads (1994)",755.5,200
"110",414,"Air Up There, The (1994)",30,10
"111",416,"Bad Girls (1994)",482,157
"112",418,"Being Human (1993)",27.5,9
"113",419,"Beverly Hillbillies, The (1993)",204.5,67
"114",422,"Blink (1994)",74.5,18
"115",424,"Blue Chips (1994)",11,3
"116",428,"Bronx Tale, A (1993)",68.5,21
"117",429,"Cabin Boy (1994)",696,198
"118",433,"Clean Slate (1994)",40.5,13
"119",437,"Cops and Robbersons (1994)",11,3
"120",439,"Dangerous Game (1993)",4,1
"121",441,"Dazed and Confused (1993)",9,3
"122",445,"Fatal Instinct (1993)",0,0
"123",448,"Fearless (1993)",0,0
"124",449,"Fear of a Black Hat (1994)",0,0
"125",452,"Widows' Peak (1994)",0,0
"126",457,"Fugitive, The (1993)",30.5,10
"127",460,"Getting Even with Dad (1994)",230,73
"128",467,"Live Nude Girls (1995)",19.5,6
"129",470,"House Party 3 (1994)",39,15
"130",471,"Hudsucker Proxy, The (1994)",150,57
"131",475,"In the Name of the Father (1993)",9,3
"132",483,"King of the Hill (1993)",117.5,32
"133",486,"Life with Mikey (1993)",327,106
"134",489,"Made in America (1993)",11,4
"135",490,"Malice (1993)",6,2
"136",491,"Man Without a Face, The (1993)",1,1
"137",495,"In the Realm of the Senses (Ai no corrida) (1976)",16,6
"138",501,"Naked (1993)",7,2
"139",505,"North (1994)",32,8
"140",508,"Philadelphia (1993)",88,31
"141",510,"Poetic Justice (1993)",842,213
"142",514,"Ref, The (1994)",16.5,5
"143",518,"Road to Wellville, The (1994)",17.5,5
"144",520,"Robin Hood: Men in Tights (1993)",10,3
"145",523,"Ruby in Paradise (1993)",6,3
"146",524,"Rudy (1993)",190,49
"147",526,"Savage Nights (Nuits fauves, Les) (1992)",7,2
"148",529,"Searching for Bobby Fischer (1993)",130.5,31
"149",535,"Short Cuts (1993)",1015.5,274
"150",536,"Simple Twist of Fate, A (1994)",107,32
"151",537,"Sirens (1994)",28.5,10
"152",538,"Six Degrees of Separation (1993)",11,4
"153",540,"Sliver (1993)",153,53
"154",556,"War Room, The (1993)",530.5,153
"155",559,"Paris, France (1993)",39,16
"156",564,"Chasers (1994)",28,9
"157",573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",7,2
"158",580,"Princess Caraboo (1994)",38,13
"159",581,"Celluloid Closet, The (1995)",49.5,16
"160",585,"Brady Bunch Movie, The (1995)",57.5,24
"161",603,"Bye Bye, Love (1995)",20,6
"162",612,"Pallbearer, The (1996)",48.5,18
"163",619,"Ed (1996)",29.5,17
"164",620,"Scream of Stone (Cerro Torre: Schrei aus Stein) (1991)",15,5
"165",621,"My Favorite Season (1993)",27,9
"166",626,"Thin Line Between Love and Hate, A (1996)",49.5,12
"167",633,"Denise Calls Up (1995)",272,70
"168",637,"Sgt. Bilko (1996)",0,0
"169",638,"Jack and Sarah (1995)",24,9
"170",650,"Moll Flanders (1996)",3,1
"171",651,"Superweib, Das (1996)",3,1
"172",656,"Eddie (1996)",0,0
"173",662,"Fear (1996)",15,6
"174",663,"Kids in the Hall: Brain Candy (1996)",0,0
"175",664,"Faithful (1996)",4,1
"176",667,"Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)",1,1
"177",668,"Song of the Little Road (Pather Panchali) (1955)",30,9
"178",670,"World of Apu, The (Apur Sansar) (1959)",50,14
"179",679,"Run of the Country, The (1995)",9,3
"180",681,"Coup de torchon (Clean Slate) (1981)",4,1
"181",685,"It's My Party (1996)",0,0
"182",698,"Delta of Venus (1995)",1258,304
"183",700,"Angus (1995)",260,71
"184",702,"Faces (1968)",660,176
"185",703,"Boys (1996)",236.5,66
"186",705,"Cosi (1996)",0,0
"187",710,"Celtic Pride (1996)",0,0
"188",719,"Multiplicity (1996)",0,0
"189",721,"Halfmoon (Paul Bowles - Halbmond) (1995)",43.5,14
"190",722,"Haunted World of Edward D. Wood Jr., The (1996)",110.5,33
"191",725,"Great White Hype, The (1996)",16,6
"192",726,"Last Dance (1996)",45.5,13
"193",728,"Cold Comfort Farm (1995)",3,2
"194",735,"Cemetery Man (Dellamorte Dellamore) (1994)",1,1
"195",743,"Spy Hard (1996)",0,0
"196",746,"Force of Evil (1948)",0,0
"197",747,"Stupids, The (1996)",0,0
"198",756,"Carmen Miranda: Bananas Is My Business (1994)",32.5,10
"199",757,"Ashes of Time (Dung che sai duk) (1994)",9,2
"200",759,"Maya Lin: A Strong Clear Vision (1994)",12,3
"201",766,"I Shot Andy Warhol (1996)",16,5
"202",769,"Marlene Dietrich: Shadow and Light (1996)",0,0
"203",781,"Stealing Beauty (1996)",0,0
"204",785,"Kingpin (1996)",25.5,8
"205",787,"Gate of Heavenly Peace, The (1995)",0,0
"206",793,"My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)",0,0
"207",813,"Larger Than Life (1996)",11,3
"208",816,"Two Deaths (1995)",16,4
"209",818,"Very Brady Sequel, A (1996)",0,0
"210",820,"Death in the Garden (Mort en ce jardin, La) (1956)",9.5,3
"211",830,"First Wives Club, The (1996)",56.5,21
"212",831,"Stonewall (1995)",0,0
"213",833,"High School High (1996)",0,0
"214",834,"Phat Beach (1996)",46,12
"215",835,"Foxfire (1996)",4,1
"216",841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",12.5,4
"217",844,"Story of Xinghua, The (Xinghua san yue tian) (1994)",6,2
"218",845,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",24.5,10
"219",846,"Flirt (1995)",0,0
"220",848,"Spitfire Grill, The (1996)",4,1
"221",851,"Basquiat (1996)",0,0
"222",854,"Ballad of Narayama, The (Narayama Bushiko) (1958)",8,2
"223",865,"Small Faces (1996)",0,0
"224",870,"Gone Fishin' (1997)",3,1
"225",872,"Vive L'Amour (Ai qing wan sui) (1994)",18,6
"226",893,"Mother Night (1996)",0,0
"227",896,"Wild Reeds (Les roseaux sauvages) (1994)",9,3
"228",918,"Meet Me in St. Louis (1944)",0,0
"229",921,"My Favorite Year (1982)",59,22
"230",926,"All About Eve (1950)",5.5,2
"231",927,"Women, The (1939)",72,22
"232",934,"Father of the Bride (1950)",2,1
"233",938,"Gigi (1958)",10,2
"234",941,"Mark of Zorro, The (1940)",96,39
"235",944,"Lost Horizon (1937)",50.5,18
"236",949,"East of Eden (1955)",0,0
"237",954,"Mr. Smith Goes to Washington (1939)",2,1
"238",957,"Scarlet Letter, The (1926)",513.5,124
"239",961,"Little Lord Fauntleroy (1936)",759.5,218
"240",963,"Inspector General, The (1949)",20,6
"241",971,"Cat on a Hot Tin Roof (1958)",0,0
"242",972,"Last Time I Saw Paris, The (1954)",0,0
"243",980,"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985)",4,1
"244",981,"Dangerous Ground (1997)",0,0
"245",982,"Picnic (1955)",0,0
"246",991,"Michael Collins (1996)",38.5,12
"247",992,"Rich Man's Wife, The (1996)",239.5,72
"248",1006,"Chamber, The (1996)",0,0
"249",1020,"Cool Runnings (1993)",0,0
"250",1040,"Secret Agent, The (1996)",0,0
"251",1041,"Secrets & Lies (1996)",3,1
"252",1044,"Surviving Picasso (1996)",0,0
"253",1051,"Trees Lounge (1996)",169.5,52
