"","movieId","title","totalRating","qtdObs"
"1",3,"Grumpier Old Men (1995)",186.5,59
"2",7,"Sabrina (1995)",174,53
"3",8,"Tom and Huck (1995)",19,5
"4",12,"Dracula: Dead and Loving It (1995)",51.5,18
"5",16,"Casino (1995)",347.5,88
"6",17,"Sense and Sensibility (1995)",337.5,86
"7",24,"Powder (1995)",103.5,34
"8",25,"Leaving Las Vegas (1995)",378,101
"9",27,"Now and Then (1995)",22,7
"10",28,"Persuasion (1995)",73.5,18
"11",30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",40.5,10
"12",34,"Babe (1995)",0,0
"13",35,"Carrington (1995)",533,148
"14",36,"Dead Man Walking (1995)",39,11
"15",37,"Across the Sea of Time (1995)",409.5,104
"16",38,"It Takes Two (1995)",4,2
"17",39,"Clueless (1995)",4,2
"18",41,"Richard III (1995)",23.5,6
"19",46,"How to Make an American Quilt (1995)",151.5,43
"20",47,"Seven (a.k.a. Se7en) (1995)",38,12
"21",49,"When Night Is Falling (1995)",178.5,61
"22",53,"Lamerica (1994)",0,0
"23",54,"Big Green, The (1995)",185.5,51
"24",59,"Confessional, The (Confessionnal, Le) (1995)",0,0
"25",61,"Eye for an Eye (1996)",180,45
"26",63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",90.5,32
"27",64,"Two if by Sea (1996)",25,7
"28",68,"French Twist (Gazon maudit) (1995)",24,10
"29",72,"Kicking and Screaming (1995)",28,8
"30",73,"Misérables, Les (1995)",84,22
"31",74,"Bed of Roses (1996)",145,48
"32",79,"Juror, The (1996)",57.5,19
"33",80,"White Balloon, The (Badkonake sefid) (1995)",0,0
"34",82,"Antonia's Line (Antonia) (1995)",8,2
"35",83,"Once Upon a Time... When We Were Colored (1995)",32,10
"36",84,"Last Summer in the Hamptons (1995)",77,26
"37",85,"Angels and Insects (1995)",18.5,4
"38",87,"Dunston Checks In (1996)",38,10
"39",89,"Nick of Time (1995)",4,1
"40",96,"In the Bleak Midwinter (1995)",58.5,17
"41",97,"Hate (Haine, La) (1995)",0,0
"42",98,"Shopping (1994)",0,0
"43",100,"City Hall (1996)",24.5,11
"44",105,"Bridges of Madison County, The (1995)",3,1
"45",113,"Before and After (1996)",309.5,94
"46",117,"Young Poisoner's Handbook, The (1995)",93.5,27
"47",118,"If Lucy Fell (1996)",4,1
"48",122,"Boomerang (1992)",498.5,118
"49",129,"Pie in the Sky (1996)",28.5,6
"50",131,"Frankie Starlight (1995)",14,5
"51",140,"Up Close and Personal (1996)",58,19
"52",146,"Amazing Panda Adventure, The (1995)",27,10
"53",152,"Addiction, The (1995)",23,8
"54",156,"Blue in the Face (1995)",0,0
"55",157,"Canadian Bacon (1995)",1,1
"56",158,"Casper (1995)",0,0
"57",171,"Jeffrey (1995)",171,48
"58",178,"Love & Human Remains (1993)",166.5,58
"59",179,"Mad Love (1995)",31.5,8
"60",180,"Mallrats (1995)",147.5,63
"61",181,"Mighty Morphin Power Rangers: The Movie (1995)",306.5,80
"62",186,"Nine Months (1995)",489,142
"63",189,"Reckless (1995)",134,43
"64",191,"Scarlet Letter, The (1995)",85.5,26
"65",194,"Smoke (1995)",123.5,48
"66",196,"Species (1995)",9,4
"67",201,"Three Wishes (1995)",23.5,5
"68",202,"Total Eclipse (1995)",21,6
"69",205,"Unstrung Heroes (1995)",0,0
"70",207,"Walk in the Clouds, A (1995)",9,2
"71",214,"Before the Rain (Pred dozhdot) (1994)",4,1
"72",215,"Before Sunrise (1995)",23,6
"73",217,"Babysitter, The (1995)",0,0
"74",218,"Boys on the Side (1995)",81,35
"75",222,"Circle of Friends (1995)",154.5,55
"76",225,"Disclosure (1994)",10,3
"77",227,"Drop Zone (1994)",4,1
"78",229,"Death and the Maiden (1994)",12,4
"79",230,"Dolores Claiborne (1995)",76,23
"80",231,"Dumb & Dumber (Dumb and Dumber) (1994)",93,31
"81",235,"Ed Wood (1994)",311,113
"82",237,"Forget Paris (1995)",0,0
"83",238,"Far From Home: The Adventures of Yellow Dog (1995)",10,3
"84",241,"Fluke (1995)",6,2
"85",242,"Farinelli: il castrato (1994)",67,18
"86",244,"Gumby: The Movie (1995)",19,7
"87",245,"The Glass Shield (1994)",50,15
"88",247,"Heavenly Creatures (1994)",6,2
"89",249,"Immortal Beloved (1994)",86.5,22
"90",250,"Heavyweights (Heavy Weights) (1995)",432,109
"91",252,"I.Q. (1994)",165,52
"92",253,"Interview with the Vampire: The Vampire Chronicles (1994)",0,0
"93",256,"Junior (1994)",49,12
"94",257,"Just Cause (1995)",92.5,25
"95",262,"Little Princess, A (1995)",304.5,78
"96",268,"Little Odessa (1994)",14,4
"97",270,"Love Affair (1994)",4,1
"98",272,"Madness of King George, The (1994)",3,1
"99",276,"Milk Money (1994)",67.5,20
"100",280,"Murder in the First (1995)",424.5,125
"101",283,"New Jersey Drive (1995)",113.5,42
"102",285,"Beyond Bedlam (1993)",46.5,13
